
span,nb articles,nb ref,f_ref occ|weight,nb_ref_filtered,f subjects,nb subjects,f authors,nb authors,f institutions,nb institutions,f article_keywords,nb article_keywords,f title_keywords,nb title_keywords,f isi_keywords,nb isi_keywords,f countries,nb countries
span_name,0,0,2 | 1,0,0 | 1,0,0 | 1,0,0 | 1,0,0 | 1,0,0 | 1,0,0 | 1,0,0 | 1,0
span,nb articles,nb ref,f_ref occ|weight,nb_ref_filtered,f subjects,nb subjects,f authors,nb authors,f institutions,nb institutions,f article_keywords,nb article_keywords,f title_keywords,nb title_keywords,f isi_keywords,nb isi_keywords,f countries,nb countries
span_name,0,0,2 | 1,0,0 | 1,0,0 | 1,0,0 | 1,0,0 | 1,0,0 | 1,0,0 | 1,0,0 | 1,0
span_name_2,50,2379,0 | 1,2379,0 | 1,30,0 | 1,209,0 | 1,282,0 | 1,225,0 | 1,312,0 | 1,186,0 | 1,24
